uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
CE;230725;JIJOCA DE JERICOACOARA;918;683938;1439;904398;1620;1264374.00;1443;1314745;1438;1559124.00;1986;1889068.00;2302;2589153.00
RO;110012;JI-PARANÁ;2277;891020;2855;1665446;5748;2909769.00;7180;5031936;6398;6171306.00;7222;7089491.00;7035;7529645.00
BA;291820;JIQUIRIÇÁ;934;598606;1556;834275;1878;1378416.00;1810;1588434;1741;1844104.00;1908;2014267.00;2067;2479503.00
BA;291830;JITAÚNA;653;172070;1065;754505;1625;1128094.00;2299;1830625;2998;2789422.00;2887;3299385.00;2876;3466312.00
SC;420900;JOAÇABA;412;177395;654;341620;624;339040.00;594;386992;499;426299.00;458;421667.00;521;493306.00
MG;313600;JOAÍMA;1410;965210;1626;1230122;1945;1478830.00;1892;1679451;1812;1934900.00;1737;2058281.00;2020;2464929.00
MG;313610;JOANÉSIA;502;342752;622;420706;674;465368.00;618;483224;551;543484.00;553;561034.00;527;531256.00
SP;352550;JOANÓPOLIS;235;101295;312;157229;375;187919.00;396;217285;329;248096.00;349;267746.00;392;326979.00
PE;260810;JOÃO ALFREDO;2751;1740785;3179;2384095;3882;2757579.00;4335;3662961;4374;4532925.00;4633;4968066.00;4326;5276696.00
RN;240580;JOÃO CÂMARA;2808;1350051;3526;2392176;4483;3398494.00;4297;3919052;4184;4548200.00;4185;4960894.00;4388;5521891.00
PI;220535;JOÃO COSTA;280;210857;287;235706;473;333221.00;464;421976;499;506324.00;581;610478.00;609;700977.00
RN;240590;JOÃO DIAS;408;313752;484;357410;516;405341.00;522;450848;463;507858.00;479;541859.00;477;557389.00
BA;291835;JOÃO DOURADO;1798;1332839;2224;1475396;2808;2043566.00;2898;2435059;2765;2737118.00;3054;3041089.00;3239;3721212.00
MA;210550;JOÃO LISBOA;1647;1396716;2375;1634157;3891;2824729.00;3765;3628403;3600;4132960.00;3629;4420131.00;3362;4425899.00
MG;313620;JOÃO MONLEVADE;2409;1094465;3499;2217683;3907;2434551.00;3431;2542526;3030;2669889.00;2850;2777540.00;2979;2901769.00
ES;320313;JOÃO NEIVA;666;286240;810;477919;803;476704.00;726;449974;623;453284.00;604;464977.00;627;514793.00
PB;250750;JOÃO PESSOA;23721;12900592;26854;17601391;31754;21402187.00;35776;27988896;34228;34902939.00;57140;52064558.00;57857;63831251.00
MG;313630;JOÃO PINHEIRO;1981;943093;3119;1656894;3182;1894721.00;2983;2047569;3115;2342262.00;3432;2609934.00;2978;2937161.00
SP;352560;JOÃO RAMALHO;120;40696;151;75687;165;73502.00;170;91479;130;92942.00;122;96990.00;164;143464.00
MG;313640;JOAQUIM FELÍCIO;106;54184;359;155861;418;283068.00;431;330862;356;354880.00;397;368982.00;433;442356.00
AL;270380;JOAQUIM GOMES;1887;950315;2692;1775384;3639;2700289.00;3612;3364360;3472;3929612.00;3676;4289956.00;4374;5317632.00
PE;260820;JOAQUIM NABUCO;1742;840542;2083;1474198;2642;1934919.00;2619;2191186;2361;2488052.00;2599;2827984.00;2711;3056275.00
PI;220540;JOAQUIM PIRES;1390;1258392;1590;1289269;2028;1596093.00;2009;1855730;1973;2160452.00;2316;2474675.00;2347;2787773.00
PR;411280;JOAQUIM TÁVORA;305;137035;506;247600;561;275852.00;540;299282;444;333352.00;374;348101.00;358;285754.00
PI;220545;JOCA MARQUES;427;322100;587;436863;749;600271.00;728;680189;687;774614.00;880;908747.00;956;1170606.00
RS;431115;JÓIA;376;149725;546;306476;597;368184.00;626;456352;558;540788.00;806;689717.00;804;843924.00
SC;420910;JOINVILLE;5446;2505837;7241;4263398;6965;4713218.00;6727;4680259;5888;5242093.00;6133;5942026.00;5376;5160143.00
MG;313650;JORDÂNIA;858;341748;946;672232;1273;879113.00;1236;1088675;1144;1233404.00;1287;1345645.00;1284;1516004.00
AC;120032;JORDÃO;138;131190;235;158304;566;441770.00;653;590530;682;787654.00;736;986494.00;777;1109614.00
SC;420915;JOSÉ BOITEUX;83;44277;288;105319;328;228750.00;385;294562;318;357424.00;324;393287.00;289;376045.00
SP;352570;JOSÉ BONIFÁCIO;825;224703;976;541296;1102;639295.00;654;554535;480;464470.00;578;512343.00;596;627360.00
RN;240600;JOSÉ DA PENHA;479;292440;598;433547;919;643539.00;953;797628;1000;965662.00;936;1034462.00;914;1081179.00
PI;220550;JOSÉ DE FREITAS;2192;1937909;3150;2183360;4096;2880109.00;4065;3435382;3816;4028657.00;4746;4838062.00;5187;6172311.00
MG;313652;JOSÉ GONÇALVES DE MINAS;378;355610;466;403450;474;386516.00;570;454824;517;566228.00;567;609162.00;576;687982.00
MA;210560;JOSELÂNDIA;1027;603933;1198;841109;1803;1282245.00;2013;1824794;2273;2437238.00;2405;2873770.00;2439;2998388.00
MG;313657;JOSENÓPOLIS;284;210162;483;303009;533;433700.00;524;475721;489;538693.00;710;683667.00;718;871597.00
MG;313655;JOSÉ RAYDAN;278;121411;430;278483;543;382714.00;521;442923;497;510564.00;451;551596.00;465;561756.00
GO;521210;JOVIÂNIA;67;24040;143;45301;297;102912.00;337;177245;364;271680.00;397;341897.00;382;368064.00
MT;510510;JUARA;739;145445;972;475873;1255;614065.00;1274;723571;1079;912018.00;1386;1230765.00;1417;1353953.00
PB;250760;JUAREZ TÁVORA;884;536158;1035;801684;1174;923353.00;1191;1050255;1172;1215515.00;1017;1226553.00;1035;1249706.00
TO;171180;JUARINA;;;59;3838;124;50534.00;202;132275;197;185984.00;261;231092.00;282;315908.00
MG;313665;JUATUBA;931;464383;1207;800724;1281;1004593.00;1393;1174536;1156;1257593.00;1227;1270600.00;1286;1512842.00
PB;250770;JUAZEIRINHO;1111;736518;1711;1162421;2088;1613176.00;1962;1820964;1856;2018953.00;1679;2117656.00;2021;2505821.00
BA;291840;JUAZEIRO;8035;3430060;9965;7209471;17103;11748687.00;16178;14058229;17525;16787216.00;22507;22962494.00;22851;27409079.00
CE;230730;JUAZEIRO DO NORTE;13997;9138992;18841;13205866;20965;15774361.00;20998;17576524;23106;23528875.00;26911;26884517.00;27275;30800690.00
PI;220551;JUAZEIRO DO PIAUÍ;370;266842;560;372220;707;555122.00;688;634872;639;718097.00;786;822870.00;853;1055063.00
CE;230740;JUCÁS;2462;2067873;2759;2241021;2674;2277397.00;3649;2849009;3626;3768156.00;3458;3902380.00;3872;4643385.00
PE;260825;JUCATI;964;545687;1002;810483;1199;837370.00;1567;1228646;1637;1708463.00;1753;1886823.00;1763;2112394.00
BA;291845;JUCURUÇU;1066;761568;1536;992465;1758;1269180.00;1528;1403183;1587;1540050.00;1672;1822113.00;1783;2142987.00
RN;240610;JUCURUTU;1605;967500;2054;1355998;2680;1777834.00;2595;2070721;2327;2324539.00;2452;2533658.00;2807;3121840.00
MT;510515;JUÍNA;1295;472958;1690;918334;1873;1063848.00;1813;1222246;1675;1481617.00;1981;1720019.00;2172;1928161.00
MG;313670;JUIZ DE FORA;12512;3773551;15279;9438914;16436;10487394.00;16780;11506975;15595;12705192.00;15383;13227886.00;15394;13889401.00
PI;220552;JÚLIO BORGES;578;355809;660;524533;745;589931.00;741;678290;719;801754.00;867;941110.00;915;1061629.00
RS;431120;JÚLIO DE CASTILHOS;719;226300;1095;669819;1343;820038.00;1292;932265;1295;1132482.00;1343;1261861.00;1356;1355761.00
SP;352580;JÚLIO MESQUITA;198;78008;256;142202;333;187757.00;304;201096;244;227532.00;276;252489.00;309;312231.00
SP;352585;JUMIRIM;42;13923;36;23351;31;17446.00;31;19914;19;19536.00;20;18189.00;24;20594.00
MA;210565;JUNCO DO MARANHÃO;338;291940;633;367187;927;674127.00;946;860519;931;1021470.00;881;1076548.00;882;1135484.00
PB;250780;JUNCO DO SERIDÓ;691;633951;757;566339;919;690894.00;889;794990;770;843306.00;851;890316.00;952;1116905.00
RN;240615;JUNDIÁ;175;146854;297;168813;504;336178.00;512;383507;510;488076.00;558;565868.00;546;636996.00
AL;270390;JUNDIÁ;555;452618;638;474481;673;471689.00;738;596176;726;733694.00;766;886283.00;814;941904.00
SP;352590;JUNDIAÍ;5153;3495557;6050;3782125;5930;4421595.00;6231;4782800;5148;4931857.00;6077;5775292.00;6723;6915022.00
PR;411290;JUNDIAÍ DO SUL;215;107122;284;148084;325;187708.00;297;221603;279;250420.00;302;289861.00;324;346896.00
AL;270400;JUNQUEIRO;2190;1548316;2351;1887067;2757;2044212.00;3294;2634129;3467;3817444.00;3810;4267296.00;3988;4781013.00
SP;352600;JUNQUEIRÓPOLIS;464;172783;704;358379;871;469496.00;779;520646;608;486742.00;693;547151.00;707;619233.00
PE;260830;JUPI;1316;1232272;1614;1287490;1808;1531093.00;1976;1731319;1922;2062820.00;1895;2228172.00;2097;2566629.00
SC;420917;JUPIÁ;54;33988;85;52887;102;73574.00;96;77237;87;76108.00;94;78117.00;108;93513.00
SP;352610;JUQUIÁ;1022;528366;1397;936520;1688;1222533.00;1467;1275240;1344;1346722.00;1447;1546217.00;1656;1746398.00
SP;352620;JUQUITIBA;1097;907280;1444;959276;1782;1233132.00;1580;1432121;1401;1476679.00;2532;2090906.00;2468;2932392.00
MG;313680;JURAMENTO;304;232909;335;271492;378;286514.00;307;293842;372;334154.00;443;390600.00;486;528080.00
PR;411295;JURANDA;405;196123;648;349248;601;414336.00;554;449128;521;504088.00;477;510863.00;417;475845.00
PE;260840;JUREMA;1413;703745;1772;1247749;2468;1846761.00;2412;2180863;2439;2632744.00;2367;2808710.00;2307;2885089.00
PI;220553;JUREMA;494;402124;514;424508;663;492400.00;648;561767;681;688122.00;825;824524.00;862;1016068.00
PB;250790;JURIPIRANGA;178;151225;359;227739;1090;626243.00;1223;945281;1343;1278960.00;1362;1526682.00;1400;1701156.00
PB;250800;JURU;1287;1055578;1476;1169219;1653;1305708.00;1593;1373147;1554;1613472.00;1508;1724515.00;1531;1855478.00
AM;130220;JURUÁ;348;249702;359;310068;372;310348.00;779;466145;756;853732.00;1008;1061783.00;1044;1369302.00
MG;313690;JURUAIA;130;64418;311;153844;383;233340.00;337;252362;309;279400.00;563;427612.00;480;474811.00
MT;510517;JURUENA;177;110158;210;147528;228;169920.00;226;190760;209;227950.00;706;570922.00;691;776891.00
PA;150390;JURUTI;2067;1477653;2739;2002221;3615;3071645.00;3527;3591239;3253;4033618.00;3606;4676707.00;3590;4973737.00
MT;510520;JUSCIMEIRA;276;181773;533;324035;876;482587.00;838;687281;828;839636.00;989;1053549.00;1039;1158963.00
PR;411300;JUSSARA;301;83890;410;212757;418;266591.00;362;326519;323;324234.00;293;333067.00;292;335551.00
BA;291850;JUSSARA;1501;991362;1828;1350589;2180;1769365.00;2207;1980657;2118;2281583.00;2442;2603025.00;2669;3194069.00
GO;521220;JUSSARA;849;256201;1086;556966;1717;885387.00;1668;1172181;1574;1380745.00;1615;1579800.00;1633;1782239.00
BA;291855;JUSSARI;697;420525;891;593293;1058;757780.00;1081;880422;1024;1070192.00;1025;1143426.00;1016;1208015.00
BA;291860;JUSSIAPE;633;369929;665;524804;722;530810.00;813;646948;744;755952.00;966;945823.00;1096;1201591.00
AM;130230;JUTAÍ;1235;902536;1313;1102987;1916;1280003.00;1924;1913738;1896;2319010.00;1972;2657827.00;2233;3151048.00
MS;500515;JUTI;113;101040;253;139406;305;199165.00;345;246358;331;308900.00;443;361711.00;546;519440.00
MG;313695;JUVENÍLIA;555;378645;734;544686;883;683424.00;934;849349;848;1022639.00;861;1084646.00;807;1019517.00
PR;411310;KALORÉ;87;13765;165;39451;318;110027.00;369;226032;359;299245.00;339;323899.00;322;330986.00
AM;130240;LÁBREA;2608;1327745;3641;2572278;4148;3564407.00;4135;4048890;3919;4800094.00;4460;5386566.00;4837;6613041.00
SC;420920;LACERDÓPOLIS;8;2445;40;7874;36;17501.00;36;19674;38;21636.00;43;26998.00;38;28481.00
MG;313700;LADAINHA;1617;821730;1722;1433564;2026;1624599.00;1873;1787098;1732;1986739.00;1875;2196138.00;2080;2657394.00
MS;500520;LADÁRIO;133;133365;403;192027;931;670158.00;920;825488;789;973193.00;1241;1200116.00;1395;1596579.00
BA;291870;LAFAIETE COUTINHO;208;120589;213;165306;520;233485.00;532;430999;577;549880.00;610;647708.00;604;680854.00
MG;313710;LAGAMAR;440;152043;599;334248;579;381941.00;615;412552;568;498022.00;628;587629.00;559;586878.00
SE;280350;LAGARTO;8436;3588619;9998;7599226;10407;8343830.00;10495;9623686;10458;11496140.00;11723;13005376.00;11568;14723532.00
SC;420930;LAGES;3662;2558095;5659;3514166;5312;4124097.00;4696;3815368;4947;4173202.00;5680;5411507.00;5922;6306043.00
PB;250810;LAGOA;407;318934;535;391536;693;466924.00;731;635511;636;700056.00;776;828245.00;822;982074.00
PI;220555;LAGOA ALEGRE;615;518257;834;548168;1029;758830.00;897;915435;884;1012830.00;1356;1305716.00;1417;1791875.00
RS;431123;LAGOA BONITA DO SUL;41;15977;103;40152;266;147367.00;285;247483;174;205788.00;200;212929.00;225;271706.00
AL;270410;LAGOA DA CANOA;1804;1128042;1870;1619140;3152;2282914.00;3064;2708464;2945;3073678.00;3137;3515158.00;3192;3597452.00
TO;171190;LAGOA DA CONFUSÃO;336;279045;402;301173;556;344003.00;675;456413;633;556350.00;863;707722.00;840;955606.00
RN;240620;LAGOA D´ANTA;658;585041;681;586057;849;683560.00;797;756945;733;837875.00;809;876169.00;899;1122397.00
MG;313720;LAGOA DA PRATA;1202;661708;1736;821341;2133;1271668.00;2182;1512932;1600;1480984.00;2280;1628574.00;2181;2007075.00
PB;250820;LAGOA DE DENTRO;811;512599;966;699205;1078;834739.00;1155;1024936;1169;1250676.00;1165;1352877.00;1114;1395172.00
RN;240630;LAGOA DE PEDRAS;920;610956;1039;836480;1156;956541.00;1107;1013285;1067;1177069.00;1140;1346695.00;1109;1428626.00
PI;220557;LAGOA DE SÃO FRANCISCO;528;417619;776;545889;899;753933.00;848;804456;834;935238.00;1036;1100106.00;1109;1296953.00
RN;240640;LAGOA DE VELHOS;241;154707;350;217084;430;319517.00;406;356656;382;404869.00;373;428760.00;397;471972.00
PI;220556;LAGOA DO BARRO DO PIAUÍ;601;420271;627;555298;765;619533.00;733;660994;697;756111.00;794;852551.00;861;1022853.00
PE;260845;LAGOA DO CARRO;1154;477257;1441;874839;2071;1282050.00;1919;1617711;1787;1840000.00;2076;1985387.00;2084;2464934.00
PE;260850;LAGOA DO ITAENGA;1566;1149350;2286;1465456;2786;1953699.00;2569;2301990;2524;2651836.00;2903;2932909.00;2792;3330878.00
MA;210592;LAGOA DO MATO;1045;865143;1380;1051563;1469;1269255.00;1663;1477183;1605;1784817.00;1633;1860659.00;1717;2135128.00
PE;260860;LAGOA DO OURO;705;547394;662;619991;1638;896370.00;1728;1520195;1681;1831024.00;1878;2229369.00;1918;2400102.00
PI;220558;LAGOA DO PIAUÍ;304;250853;406;303829;473;361468.00;490;434323;485;517872.00;608;610651.00;611;731561.00
PE;260870;LAGOA DOS GATOS;1992;1121989;2426;1751766;2657;2079309.00;3008;2519762;2975;2996704.00;2975;3245183.00;2774;3219947.00
PI;220559;LAGOA DO SÍTIO;487;284919;661;438194;783;586738.00;768;656702;737;734644.00;979;930036.00;1038;1170389.00
MG;313730;LAGOA DOS PATOS;253;127972;417;231887;455;353732.00;430;367209;402;423192.00;512;508316.00;596;725311.00
RS;431127;LAGOA DOS TRÊS CANTOS;34;9241;39;18943;21;14522.00;25;11463;23;14422.00;13;12569.00;19;12218.00
TO;171195;LAGOA DO TOCANTINS;201;121946;317;214986;399;337149.00;387;390489;372;453834.00;470;527439.00;500;668914.00
MG;313740;LAGOA DOURADA;489;351984;822;473582;827;528973.00;776;461857;733;511028.00;568;454124.00;583;432353.00
MG;313750;LAGOA FORMOSA;1061;397208;1196;774194;1252;731301.00;1211;786952;1130;867114.00;1090;940014.00;1097;941851.00
MG;313753;LAGOA GRANDE;453;210711;560;393445;618;442238.00;641;512053;565;584956.00;873;722230.00;905;976042.00
PE;260875;LAGOA GRANDE;1713;1042491;2226;1540012;2854;1999554.00;2666;2258833;2569;2652556.00;3212;3281418.00;3426;4258351.00
MA;210596;LAGOA GRANDE DO MARANHÃO;1146;985137;1185;1020447;1546;1315600.00;1600;1574454;1579;1915551.00;1607;2138261.00;1567;2203586.00
RN;240650;LAGOA NOVA;1443;1037355;1657;1337381;2056;1552221.00;1911;1764582;1881;2016553.00;1787;2170113.00;2117;2594725.00
RS;431125;LAGOÃO;352;132460;426;260562;484;284742.00;553;394758;485;476475.00;675;586188.00;667;698921.00
BA;291875;LAGOA REAL;1170;784784;1319;1163567;1670;1379831.00;1473;1518763;1491;1660506.00;1699;1879743.00;1859;2262985.00
RN;240660;LAGOA SALGADA;715;484422;786;622150;1148;807803.00;1166;1053888;1179;1281462.00;1184;1417436.00;1154;1475905.00
GO;521225;LAGOA SANTA;19;11948;51;17893;86;37718.00;74;41232;71;45652.00;101;78222.00;107;115776.00
MG;313760;LAGOA SANTA;1134;613240;1701;952549;1782;1180436.00;1754;1274583;1961;1561704.00;2628;2218326.00;2596;2612847.00
PB;250830;LAGOA SECA;1865;1411328;2498;1635366;2459;1990197.00;2680;2269140;2609;2814838.00;3239;3421409.00;3443;4263655.00
RS;431130;LAGOA VERMELHA;1294;638845;1641;1073337;1896;1214733.00;1781;1368729;1535;1460536.00;1818;1580862.00;1700;1706328.00
MA;210570;LAGO DA PEDRA;2287;1528768;3628;2494919;5831;3711410.00;5906;5529862;5813;6763508.00;6075;7593207.00;6880;8969664.00
MA;210580;LAGO DO JUNCO;801;615503;885;755137;1275;947161.00;1439;1279121;1553;1695295.00;1564;1905137.00;1615;2098198.00
MA;210594;LAGO DOS RODRIGUES;816;479415;1148;813073;1367;1105671.00;1353;1248808;1369;1521396.00;1313;1650728.00;1355;1760226.00
SP;352630;LAGOINHA;289;121234;419;239240;486;309114.00;489;356638;493;425920.00;474;474184.00;394;450178.00
PI;220554;LAGOINHA DO PIAUÍ;291;226645;344;233642;432;310216.00;438;372739;408;429036.00;442;451080.00;434;511032.00
MA;210590;LAGO VERDE;695;553280;1206;711785;2283;1587356.00;2389;2141809;2390;2717586.00;2318;2952953.00;2434;3148498.00
SC;420940;LAGUNA;1314;618562;1786;1154230;2061;1314016.00;1884;1536350;1740;1744522.00;2265;2094238.00;2255;2234939.00
MS;500525;LAGUNA CARAPÃ;132;120345;294;144584;331;182405.00;394;258285;356;314752.00;484;439542.00;527;582411.00
BA;291880;LAJE;1683;1054108;1933;1540387;2380;1958640.00;2339;2089126;2221;2409664.00;2715;2917815.00;2790;3398584.00
RS;431140;LAJEADO;979;247173;1207;688084;1247;696807.00;1236;861951;1010;983558.00;1056;1061709.00;1139;1163009.00
TO;171200;LAJEADO;58;41650;129;62753;200;130734.00;196;164794;208;222948.00;236;265020.00;251;301720.00
RS;431142;LAJEADO DO BUGRE;127;64276;215;138389;233;183836.00;211;192648;202;200418.00;234;243214.00;282;315464.00
SC;420945;LAJEADO GRANDE;45;27724;47;26210;73;44933.00;69;54936;61;57018.00;65;67651.00;56;70154.00
MA;210598;LAJEADO NOVO;334;269563;322;293404;675;371906.00;755;647257;757;814164.00;1094;1023061.00;1152;1446889.00
BA;291890;LAJEDÃO;399;148853;409;305569;438;301571.00;519;382068;499;463134.00;546;509468.00;532;603890.00
BA;291900;LAJEDINHO;521;213109;643;409428;618;473494.00;706;554896;755;740602.00;696;832089.00;698;854445.00
PE;260880;LAJEDO;3389;2364331;3915;3113475;4285;3182716.00;4500;3823565;4465;4691223.00;4894;5271415.00;4731;5844522.00
BA;291905;LAJEDO DO TABOCAL;720;621503;894;639299;1100;772596.00;1087;897776;1027;1018298.00;957;1092621.00;1050;1267066.00
RJ;330230;LAJE DO MURIAÉ;57;54165;58;54360;427;184935.00;625;394432;594;599626.00;602;643607.00;657;765204.00
RN;240670;LAJES;817;499264;789;671190;1506;981590.00;1436;1216902;1446;1422366.00;1374;1587258.00;1472;1742546.00
RN;240680;LAJES PINTADAS;246;201482;569;291032;692;490511.00;616;527282;668;612628.00;624;687947.00;717;837161.00
MG;313770;LAJINHA;1080;332849;1592;879618;1793;1252374.00;1719;1540397;1642;1801593.00;1735;1962707.00;1798;2312523.00
BA;291910;LAMARÃO;527;397614;698;520443;1050;836571.00;1023;988241;984;1125526.00;1449;1395206.00;1504;1754718.00
MG;313780;LAMBARI;761;296961;1150;643075;1335;813983.00;1126;862161;1144;892506.00;1397;1086290.00;1403;1279118.00
MT;510523;LAMBARI D´OESTE;189;79321;328;191145;406;281360.00;380;318577;329;336130.00;458;350540.00;425;449682.00
MG;313790;LAMIM;139;67543;158;124534;242;138634.00;324;239020;336;315898.00;360;356808.00;382;421254.00
PI;220560;LANDRI SALES;726;554663;796;653128;759;597910.00;834;639687;831;804814.00;903;946299.00;992;1133046.00
PR;411320;LAPA;1298;344731;1737;870481;2735;1382221.00;2337;1758095;2141;1855306.00;2148;2008669.00;2367;2295331.00
BA;291915;LAPÃO;1947;1572873;2785;1694684;3470;2654646.00;3395;3080798;3466;3663784.00;3562;4122811.00;4026;4982888.00
ES;320316;LARANJA DA TERRA;785;421550;1188;698496;1421;953895.00;1274;1036975;1146;1040716.00;1251;1174169.00;1186;1261960.00
PR;411325;LARANJAL;213;154082;693;257918;796;557420.00;780;668042;715;742338.00;799;877454.00;878;1101871.00
MG;313800;LARANJAL;40;30340;443;106140;545;341894.00;496;392048;459;440890.00;547;488874.00;569;610389.00
AP;160027;LARANJAL DO JARI;451;376917;458;389486;2381;898588.00;2627;2424771;2578;2965998.00;3866;4029537.00;3929;5400911.00
SP;352640;LARANJAL PAULISTA;553;353592;560;372477;764;477130.00;632;479735;492;484848.00;981;729104.00;975;1012088.00
SE;280360;LARANJEIRAS;1342;380212;2073;1414877;2798;1993329.00;2796;2454275;2726;2778383.00;3067;3257216.00;3126;3848735.00
PR;411330;LARANJEIRAS DO SUL;1776;1220832;2340;1513083;2219;1598237.00;1961;1534864;1823;1656865.00;2024;1918150.00;1870;1952720.00
MG;313810;LASSANCE;599;291678;657;465940;606;394988.00;638;436157;646;559710.00;645;629327.00;683;717439.00
PB;250840;LASTRO;290;170935;433;281118;533;402978.00;524;467207;491;535010.00;485;557637.00;494;599658.00
SC;420950;LAURENTINO;117;51726;119;53076;116;51625.00;123;57685;65;59053.00;118;80748.00;111;94597.00
BA;291920;LAURO DE FREITAS;5953;3143882;8978;5767379;9371;7741170.00;9300;8358274;7834;9349862.00;15101;13993347.00;15331;18486000.00
SC;420960;LAURO MULLER;213;69517;416;168066;451;209598.00;416;239531;364;286956.00;498;374047.00;481;439241.00
TO;171215;LAVANDEIRA;78;30464;124;61125;158;104730.00;189;145372;196;176908.00;222;215435.00;211;250740.00
SP;352650;LAVÍNIA;123;64961;237;105555;277;128736.00;222;134315;179;131266.00;227;168618.00;250;205828.00
MG;313820;LAVRAS;2234;1280431;3190;1765677;3345;2135880.00;3060;2026119;2880;2212889.00;3884;2720736.00;3387;2732337.00
CE;230750;LAVRAS DA MANGABEIRA;3202;2441139;4569;3168238;5165;4138265.00;5205;4445882;4893;5158201.00;4739;5654465.00;4954;5858163.00
RS;431150;LAVRAS DO SUL;387;171416;577;342328;623;382670.00;569;417228;578;472004.00;566;502186.00;530;510331.00
SP;352660;LAVRINHAS;4;1356;300;70869;362;199290.00;314;224168;317;260768.00;350;304259.00;370;332617.00
MG;313830;LEANDRO FERREIRA;189;88477;225;138284;211;132406.00;210;137886;198;157986.00;198;157295.00;183;144635.00
SC;420970;LEBON RÉGIS;102;73873;581;175982;695;431082.00;714;577573;681;690088.00;1022;926827.00;1064;1271867.00
SP;352670;LEME;2061;962130;2386;1470164;2934;1821836.00;2660;2115455;1805;2241241.00;3037;2673484.00;3282;3056582.00
MG;313835;LEME DO PRADO;365;272230;360;309854;431;308334.00;492;389288;490;489112.00;572;552292.00;591;663258.00
BA;291930;LENÇÓIS;274;245692;990;537803;1059;907691.00;1006;950642;973;1097220.00;1258;1300139.00;1409;1725554.00
SP;352680;LENÇÓIS PAULISTA;1130;613031;1269;772176;1519;889881.00;1376;954229;1111;1051450.00;1048;1045626.00;1190;1150138.00
SC;420980;LEOBERTO LEAL;102;79969;138;89516;163;111778.00;150;122841;153;136598.00;188;171328.00;181;198735.00
MG;313840;LEOPOLDINA;1844;527096;3202;1571162;3567;2202896.00;3095;2262836;2598;2388558.00;3124;2791769.00;3223;3099499.00
GO;521230;LEOPOLDO DE BULHÕES;200;43093;435;172080;551;297209.00;576;393959;496;485612.00;682;614747.00;634;660350.00
PR;411340;LEÓPOLIS;243;84492;304;171195;287;166353.00;244;177840;234;186176.00;232;180831.00;258;222164.00
RS;431160;LIBERATO SALZANO;304;175713;395;261715;398;245032.00;417;298665;474;427110.00;495;479735.00;517;540651.00
MG;313850;LIBERDADE;241;47613;336;198901;542;301430.00;503;359060;478;430278.00;522;500706.00;550;579076.00
BA;291940;LICÍNIO DE ALMEIDA;1395;1157617;1600;1162548;1776;1297183.00;1612;1401768;1544;1573886.00;1561;1750114.00;1700;1957062.00
PR;411342;LIDIANÓPOLIS;241;59333;436;200831;413;250837.00;310;255244;302;262698.00;315;289807.00;322;307282.00
MA;210600;LIMA CAMPOS;881;562105;1285;846408;1810;1153241.00;1845;1549374;1774;1819626.00;2010;2047887.00;1895;2308455.00
MG;313860;LIMA DUARTE;673;99776;1273;651798;1456;918152.00;1242;910618;1327;1036502.00;1295;1122697.00;1283;1201158.00
SP;352690;LIMEIRA;4965;2003831;6832;3840126;8457;5486795.00;7872;5989878;6506;6691017.00;8656;8162860.00;9472;10260262.00
MG;313862;LIMEIRA DO OESTE;208;93510;187;133742;258;144789.00;313;195424;176;189350.00;184;149402.00;163;157667.00
PE;260890;LIMOEIRO;4972;2766556;6851;4305210;7831;5577899.00;7695;6386298;8355;7804188.00;8231;9109913.00;7567;9058456.00
AL;270420;LIMOEIRO DE ANADIA;2380;1631239;2527;2038271;3170;2391688.00;3109;2692407;2895;3024032.00;3192;3503304.00;3960;4447973.00
PA;150400;LIMOEIRO DO AJURU;1120;476285;1753;1270679;1795;1598414.00;1836;1816254;1972;2366606.00;2402;2872469.00;2862;3921510.00
CE;230760;LIMOEIRO DO NORTE;4449;3104664;5782;3759896;5644;4071521.00;4989;4315319;5285;4882136.00;5891;5999385.00;6105;6792102.00
PR;411345;LINDOESTE;149;76675;415;200479;457;280191.00;467;343670;361;370204.00;456;425933.00;480;483594.00
SP;352700;LINDÓIA;94;41589;104;63969;137;76662.00;110;82335;162;93412.00;231;145372.00;263;229043.00
SC;420985;LINDÓIA DO SUL;136;79878;169;103515;132;92828.00;145;89084;118;94696.00;125;103847.00;120;108312.00
RS;431162;LINDOLFO COLLOR;45;5945;89;46325;98;67960.00;61;59021;70;70964.00;129;110294.00;96;103643.00
RS;431164;LINHA NOVA;29;6794;29;17425;15;9929.00;9;5766;6;6512.00;14;6872.00;10;8636.00
ES;320320;LINHARES;4343;1745059;5166;3523844;6909;4188271.00;7236;4836402;5797;5327606.00;6679;6091769.00;8209;7879968.00
SP;352710;LINS;1472;527263;2057;1175455;2185;1406455.00;2151;1578674;1502;1623304.00;1810;1693394.00;1877;1788158.00
PB;250850;LIVRAMENTO;990;713641;1170;833416;1247;977162.00;1222;1038040;1167;1201852.00;1116;1257005.00;1064;1267949.00
BA;291950;LIVRAMENTO DE NOSSA SENHORA;1486;880217;1760;1351303;4324;2927600.00;4220;3801897;3709;4047774.00;5262;4810178.00;5177;5982679.00
TO;171240;LIZARDA;206;143516;228;202006;432;241681.00;438;416135;422;490114.00;594;600151.00;622;761665.00
