uf;cod;municipio;qtd_2004;vlr_2004;qtd_2005;vlr_2005;qtd_2006;vlr_2006;qtd_2007;vlr_2007;qtd_2008;vlr_2008;qtd_2009;vlr_2009;qtd_2010;vlr_2010
SP;350570;BARUERI;926;120708;4141;2074658;6792;4498472.00;6888;5373339;5701;6427812.00;10102;8409366.00;10301;8993150.00
SP;350580;BASTOS;297;157449;403;213255;801;410907.00;661;511902;465;420062.00;507;414735.00;583;512230.00
MS;500190;BATAGUASSU;254;201795;878;345662;1056;564883.00;986;629633;854;723018.00;1548;1050150.00;1417;1501676.00
PI;220150;BATALHA;2086;1763120;2644;2082112;3781;2842743.00;3633;3326608;3520;3801386.00;4203;4357556.00;4489;5243580.00
AL;270070;BATALHA;792;584319;1680;1012396;2208;1708064.00;2187;1995411;2097;2303536.00;2652;2719812.00;2659;3305146.00
SP;350590;BATATAIS;783;325743;917;552599;1383;705843.00;1591;1040515;1395;1354098.00;1589;1625931.00;1690;1897531.00
MS;500200;BATAYPORÃ;103;83250;489;212155;978;495400.00;892;600692;698;598502.00;690;674597.00;801;807425.00
CE;230210;BATURITÉ;2681;2109430;3437;2351560;4708;3257280.00;4669;3925888;4531;4552982.00;4691;5204772.00;4500;5595892.00
SP;350600;BAURU;4791;1057218;5233;3323376;7433;4537060.00;8443;6416081;7130;7694356.00;9079;8670050.00;9126;9429267.00
PB;250180;BAYEUX;7197;2949130;8388;6105272;9704;6756021.00;9511;8417023;8862;9506870.00;11412;11036603.00;10903;12835860.00
SP;350610;BEBEDOURO;2313;797262;2872;1739705;3433;2186162.00;3179;2125805;2573;2423164.00;2540;2336151.00;2598;2751904.00
CE;230220;BEBERIBE;4516;3291598;6061;3899314;6441;4732397.00;6530;5457404;6579;6587692.00;7555;7369531.00;7879;9135999.00
CE;230230;BELA CRUZ;2651;1914607;3377;2557666;3697;2983549.00;3977;3599813;3953;4265631.00;4194;4661776.00;4411;5296717.00
MA;210173;BELÁGUA;535;493815;636;565119;795;674751.00;772;803873;750;942525.00;869;1064412.00;955;1347990.00
MS;500210;BELA VISTA;545;500355;1393;728789;1805;1312483.00;1812;1610519;1699;1909172.00;1982;2184483.00;2166;2726780.00
PR;410275;BELA VISTA DA CAROBA;294;164944;404;273253;358;244370.00;387;286948;329;356352.00;396;430037.00;384;456766.00
GO;520330;BELA VISTA DE GOIÁS;57;40295;275;56227;636;249550.00;859;490224;679;521334.00;1066;783998.00;1232;1165398.00
MG;310600;BELA VISTA DE MINAS;381;204404;637;355542;724;478571.00;652;490470;507;523604.00;715;607097.00;729;698081.00
MA;210177;BELA VISTA DO MARANHÃO;793;585822;870;703183;1369;932545.00;1487;1299306;1658;1742336.00;1594;1991292.00;1544;2006931.00
